store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
BELZ - PR,136,STATE ROAD 3 KM 18.4 ,,CANOVANAS ,PR,00729,United States,7872560938,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 09:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
BOYNTON BEACH - FL,186,801 N. CONGRESS AVE. ,,BOYNTON BEACH ,FL,33426,United States,5617420371,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
WESTLAND - FL,237,W 1675 49TH STREET ,,HIALEAH ,FL,33012,United States,3058196210,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
CORAL - FL,71,9167 WEST ATLANTIC BOULEVARD ,,CORAL SPRINGS ,FL,33071,United States,9543460011,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
WELLINGTON GREEN - FL,165,10300 W. FOREST HILL BOULEVARD ,,WELLINGTON ,FL,33414,United States,5617841646,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
DEL SOL - PR,84,725 AVENIDA WEST MAIN ,,SIERRA BAYAMON ,PR,00961,United States,7877855078,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 08:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
FT LAUDERDALE - FL,184,2414 E. SUNRISE BLVD ,,FT LAUDERDALE ,FL,33304,United States,9545639544,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
PORT CHARLOTTE - FL,478,1441 TAMIAMI TRAIL PORT ,,CHARLOTTE ,FL,33948,United States,9412350161,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
PEMBROKE - FL,270,11401 PINES BOULEVARD ,,PEMBROKE PINES ,FL,33026,United States,9548854024,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
TREASURE COAST - FL,181,3410A N.W. FEDERAL HIGHWAY ,,JENSEN BEACH ,FL,34957,United States,7726925190,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
