store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Lennys Tire,279408,4530 State Rt. 30,,Middleburgh,NY,12122,United States,5188274263,42.50215,-74.418613,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 12:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,358038,10019 REA RD,,CHARLOTTE,NC,28277-4390,United States,7048460934,35.033385,-80.805472,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,300475,15220 JOHN J DELANEY DR,,CHARLOTTE,NC,28277-2742,United States,7045407150,35.053637,-80.846527,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,353227,5870 W HIGHWAY 74,,INDIAN TRAIL,NC,28079-0518,United States,7048210610,35.065971,-80.640027,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Discount Wheel & Tire,775590,3223 A Summerhill Road,,Texarkana,TX,75503-3967,United States,9037930887,33.44675,-94.06627,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,300477,8148 PROVIDENCE RD,,CHARLOTTE,NC,28277-9750,United States,7045426301,35.096857,-80.777863,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Stones Texaco,260301,9431 Route 36,,East Fairfield,VT,5448,United States,8028273778,44.785127,-72.859397,Mon:06:00 AM - 07:00 PM; Tue:06:00 AM - 07:00 PM; Wed:06:00 AM - 07:00 PM; Thu:06:00 AM - 07:00 PM; Fri:06:00 AM - 07:00 PM; Sat:06:00 AM - 12:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
WHEEL WORKS  8205,117366,1205 PARKSIDE DR,,WALNUT CREEK,CA,94596-3693,United States,9259451900,37.911739,-122.06123,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Wilson Tire Center,654523,601 N. State Line Ave.,,Texarkana,TX,75501-5508,United States,9037936000,33.426175040984,-94.0431510369368,Mon:08:00 AM - 05:30 PM; Tue:08:00 AM - 05:30 PM; Wed:08:00 AM - 05:30 PM; Thu:08:00 AM - 05:30 PM; Fri:08:00 AM - 05:30 PM; Sat:08:00 AM - 12:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,28797,10731 PARK RD,,CHARLOTTE,NC,28210-8410,United States,7045410455,35.090297,-80.870139,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
WHEEL WORKS 8225,241048,2131 SAN RAMON VALLEY BLVD,,SAN RAMON,CA,94583-1207,United States,9258206300,37.782922,-121.979384,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,29734,715 CONTRA COSTA BLVD,,CONCORD,CA,94523-1516,United States,9256892710,37.969558,-122.063077,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
