store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Baxter Volkswagen of Omaha,424218,808 N. 102nd Street,,Omaha,NE,68114,USA,8556097055,41.2672,-96.0734,Fri:07:00-18:00; Mon:07:00-18:00; Sat:08:00-12:00; Thu:07:00-18:00; Tue:07:00-18:00; Wed:07:00-18:00; Sun:closed; ,,0
Steet Ponte Volkswagen,408155,5046 Commercial Dr,,Yorkville,NY,13495,USA,3157368291,43.1081,-75.2945,Fri:08:00-17:00; Mon:08:00-17:00; Sat:08:00-13:00; Thu:08:00-17:00; Tue:08:00-17:00; Wed:08:00-17:00; Sun:closed; ,,0
Balise Volkswagen,401214,525 Quaker Ln,,West Warwick,RI,02893,USA,4013525912,41.6795,-71.5012,Fri:09:00-17:00; Mon:09:00-17:00; Thu:09:00-17:00; Tue:09:00-17:00; Wed:09:00-17:00; Sun:closed; Sat:closed; ,,0
Nye Volkswagen of Rome,408307,5865 Rome-Taberg Rd,,Rome,NY,13440,USA,8554599654,43.2328,-75.4980,Fri:08:00-17:30; Mon:08:00-20:00; Sat:09:00-17:00; Thu:08:00-20:00; Tue:08:00-20:00; Wed:08:00-20:00; Sun:closed; ,,0
Flynn Volkswagen,401041,600 Merrill Rd,,Pittsfield,MA,01201,USA,8556284250,42.4643,-73.2056,Fri:07:30-17:30; Mon:07:30-17:30; Thu:07:30-17:30; Tue:07:30-17:30; Wed:07:30-17:30; Sun:closed; Sat:closed; ,,0
Cooley Motors Corp.,408366,401 N Greenbush Rd,,Rensselaer,NY,12144,USA,5182832902,42.6661,-73.6910,Fri:08:00-17:00; Mon:08:00-17:00; Thu:08:00-19:00; Tue:08:00-17:00; Wed:08:00-17:00; Sun:closed; Sat:closed; ,,0
Fuccillo Volkswagen of Schenectady,408358,2240 Central Ave,,Schenectady,NY,12304,USA,5183749161,42.7639,-73.8862,Fri:08:00-19:00; Mon:08:00-19:00; Sat:08:00-18:00; Thu:08:00-19:00; Tue:08:00-19:00; Wed:08:00-19:00; Sun:closed; ,,0
Nemer Volkswagen,408396,550 Troy Schenectady Rd,,Latham,NY,12110,USA,8557348330,42.7505,-73.7652,Fri:07:30-17:30; Mon:07:30-17:30; Sat:08:00-16:00; Thu:07:30-17:30; Tue:07:30-17:30; Wed:07:30-17:30; Sun:closed; ,,0
Volkswagen of Oshkosh,402612,3139 S Washburn St,,Oshkosh,WI,54904,USA,9204710770,43.9803,-88.5848,Fri:09:00-17:00; Mon:09:00-17:00; Sat:09:00-17:00; Sun:09:00-17:00; Thu:09:00-17:00; Tue:09:00-17:00; Wed:09:00-17:00; ,,0
Northampton Volkswagen,401033,361 King St.,,Northampton,MA,01060,USA,4135667161,42.3369,-72.6361,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-17:00; Sun:12:00-16:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; ,,0
"Mattie Imports, Inc.",401059,80 William S Canning Blvd,,Fall River,MA,02721,USA,8665760049,41.6765,-71.1615,Fri:09:00-19:00; Mon:09:00-20:00; Sat:09:00-17:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; Sun:closed; ,,0
Scott Volkswagen,401206,777 Taunton Ave,,East Providence,RI,02914,USA,8556117323,41.8220,-71.3519,Fri:09:00-17:00; Mon:09:00-19:00; Sat:09:00-17:00; Sun:12:00-16:00; Thu:09:00-19:00; Tue:09:00-19:00; Wed:09:00-19:00; ,,0
Patrick Motors,401015,519 Washington St,,Auburn,MA,01501,USA,5088328883,42.1857,-71.8377,Fri:07:30-17:30; Mon:07:30-17:30; Sat:08:00-16:00; Thu:07:30-19:00; Tue:07:30-17:30; Wed:07:30-17:30; Sun:closed; ,,0
"Volkswagen of North Attleboro, Inc.",401067,563 Kelley Blvd,,North Attleboro,MA,02760,USA,8665760069,42.0072,-71.3014,Fri:09:00-18:00; Mon:09:00-20:00; Sat:09:00-17:00; Sun:12:00-16:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; ,,0
Volkswagen Appleton,402611,3023 N Victory Ln,,Appleton,WI,54913,USA,9205749052,44.2911,-88.4719,Fri:08:30-18:00; Mon:08:30-20:00; Sat:08:30-17:00; Thu:08:30-20:00; Tue:08:30-20:00; Wed:08:30-20:00; Sun:closed; ,,0
Mastria Volkswagen of Raynham,401042,1619 New State Hwy,,Raynham,MA,02767,USA,8554811278,41.9031,-71.0054,Fri:07:30-18:00; Mon:07:30-19:30; Sat:07:30-17:00; Sun:11:00-16:00; Thu:07:30-19:30; Tue:07:30-19:30; Wed:07:30-19:30; ,,0
