store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Strangs valu-mart,0453,101 East Street South ,,Bobcaygeon,ON,K0M 1A0,Canada,Contact,44.53753,-78.53956,Friday: 7:00 AM - 9:00 PMSaturday: 7:00 AM - 6:00 PMSunday: 7:00 AM - 6:00 PMMonday: 7:00 AM - 9:00 PMTuesday: 7:00 AM - 9:00 PMWednesday: 7:00 AM - 9:00 PMThursday: 7:00 AM - 9:00 PM,,0
Lakeshore valu-mart,2652,2399 Lakeshore Blvd. ,,Etobicoke,ON,M8V 1C5,Canada,Contact,43.614714,-79.487935,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 8:00 AM - 8:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
Phil's valu-mart,0489,1551 Hwy 55 ,,Virgil,ON,L0S 1T0,Canada,Contact,43.22318,-79.119871,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 9:00 AM - 6:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
Walkoms VM Mitchell,0836,120 ONTARIO ROAD ,,Mitchell,ON,N0K 1N0,Canada,Contact,43.46731,-81.19499,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 8:00 AM - 6:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
"320 Main Street, Iroquois Falls",2625,320 Main Street ,,Iroquois Falls,ON,P0K 1G0,Canada,Contact,48.75896,-80.68767,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 8:00 AM - 6:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
"125 John Street  North, Aylmer",2666,125 John Street  North ,,Aylmer,ON,N5H 2A7,Canada,Contact,42.77439,-80.98219,Friday: 8:00 AM - 8:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 8:00 AM - 8:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
Bullock's valu-mart,2694,123 Guildwood Parkway ,,Scarborough,ON,M1E 4V2,Canada,Contact,43.746523,-79.20017,Friday: 7:00 AM - 10:00 PMSaturday: 7:00 AM - 10:00 PMSunday: 7:00 AM - 10:00 PMMonday: 7:00 AM - 10:00 PMTuesday: 7:00 AM - 10:00 PMWednesday: 7:00 AM - 10:00 PMThursday: 7:00 AM - 10:00 PM,,0
Collins valu-mart,0832,24 Commercial Drive ,,Burks Falls,ON,P0A 1C0,Canada,Contact,45.621449,-79.414398,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 9:30 AM - 5:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
"42 Matthew Street PO Box 457, Marmora",2669,42 Matthew Street PO Box 457 ,,Marmora,ON,K0K 2M0,Canada,Contact,44.483834,-77.678842,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 8:00 AM - 8:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
"4512 Saint Catherine St, St Isidore",0416,4512 Saint Catherine St ,,St Isidore,ON,K0C 2B0,Canada,Contact,45.387132,-74.907189,Friday: 8:00 AM - 8:00 PMSaturday: 8:00 AM - 5:00 PMSunday: 8:00 AM - 5:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
Belfiores valu-mart,0824,385 Frederick Street ,,Kitchener,ON,N2H 2P2,Canada,Contact,43.45739,-80.4731,Friday: 8:00 AM - 10:00 PMSaturday: 8:00 AM - 10:00 PMSunday: 8:00 AM - 10:00 PMMonday: 8:00 AM - 10:00 PMTuesday: 8:00 AM - 10:00 PMWednesday: 8:00 AM - 10:00 PMThursday: 8:00 AM - 10:00 PM,,0
Yuill's valu-mart,2632,"P.O.Box 460, Hwy 60 ",,Barry's Bay,ON,K0J 1B0,Canada,Contact,45.488267,-77.678983,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 9:00 PMSunday: 8:00 AM - 9:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
"75 Deep River Road, Deep River",2665,75 Deep River Road ,,Deep River,ON,K0J 1P0,Canada,Contact,46.10039,-77.487,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 8:00 AM - 6:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
